"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Portugal";"Material recycling";"Kilograms per capita";":";
2014.0;"Portugal";"Material recycling";"Kilograms per capita";"74";
2013.0;"Portugal";"Material recycling";"Kilograms per capita";"57";
2012.0;"Portugal";"Material recycling";"Kilograms per capita";"52";
2011.0;"Portugal";"Material recycling";"Kilograms per capita";"56";
2010.0;"Portugal";"Material recycling";"Kilograms per capita";"59";
2009.0;"Portugal";"Material recycling";"Kilograms per capita";"61";
2008.0;"Portugal";"Material recycling";"Kilograms per capita";"54";
2007.0;"Portugal";"Material recycling";"Kilograms per capita";"50";
2006.0;"Portugal";"Material recycling";"Kilograms per capita";"45";
2005.0;"Portugal";"Material recycling";"Kilograms per capita";"39";
